Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2014,0,0,United States,36.70%,36.00%,33.20%,"83,262,122","81,687,059","227,157,964","245,712,915",8.40%,"1,493,706","2,298,993","548,576","3,329,718","5,345,814"
2014,41,1,Alabama,33.20%,32.90%,31.50%,"1,191,274","1,180,413","3,588,783","3,751,844",2.50%,"31,691","53,640","8,097","69,826",
2014,81,2,Alaska,54.80%,54.20%,51.00%,"285,431","282,382","520,562","553,473",3.90%,"5,216","7,077","2,210","11,389",
2014,61,3,Arizona,34.10%,33.40%,29.50%,"1,537,671","1,506,416","4,510,186","5,110,890",10.10%,"37,516","73,232","7,502","86,028",
2014,42,4,Arkansas,40.30%,40.10%,37.50%,"852,642","848,592","2,117,881","2,263,040",4.00%,"17,756","28,192","21,743","55,287",
2014,71,5,California,30.70%,29.90%,24.70%,"7,513,972","7,317,581","24,440,416","29,646,675",16.80%,"136,088",0,"87,104","223,192",
2014,62,6,Colorado,54.70%,53.70%,49.40%,"2,080,071","2,041,020","3,800,664","4,128,890",7.20%,"19,121",0,"10,067","29,188",
2014,1,7,Connecticut,42.50%,42.30%,38.50%,"1,096,556","1,089,880","2,577,311","2,828,791",8.20%,"16,113",0,"2,564","18,677",
2014,11,8,Delaware,34.90%,34.30%,31.80%,"238,110","234,038","681,526","735,156",5.10%,"6,625","15,665",676,"16,073",
2014,55,9,District of Columbia,35.70%,35.30%,32.00%,"177,176","175,071","495,899","547,228",9.40%,0,0,0,0,
2014,43,10,Florida,43.30%,42.80%,37.60%,"6,026,802","5,951,561","13,914,216","15,816,663",10.60%,"95,671","227,087","4,519","227,359",
2014,44,11,Georgia,38.60%,38.20%,33.80%,"2,596,947","2,567,761","6,725,041","7,601,982",7.10%,"50,499","471,067","25,547","339,844",
2014,82,12,Hawaii,36.50%,36.20%,32.90%,"369,554","366,125","1,012,123","1,113,693",8.60%,"5,721",0,0,"5,721",
2014,63,13,Idaho,39.80%,39.30%,36.50%,"445,307","439,830","1,119,882","1,205,611",4.60%,"7,901","33,450","4,217","30,850",
2014,21,14,Illinois,40.80%,40.20%,36.60%,"3,680,417","3,627,690","9,028,752","9,922,399",8.50%,"46,465",0,0,"46,465",
2014,22,15,Indiana,28.70%,27.80%,26.70%,"1,387,622","1,341,814","4,829,510","5,033,872",3.50%,"28,638",0,0,"28,638",
2014,31,16,Iowa,50.30%,49.80%,47.30%,"1,142,284","1,129,700","2,269,179","2,386,733",3.60%,"8,686","29,929","5,769","31,215",
2014,32,17,Kansas,43.30%,42.50%,39.80%,"887,023","869,502","2,048,164","2,184,712",5.20%,"9,326","16,328","4,051","22,521",
2014,51,18,Kentucky,44.90%,44.20%,42.20%,"1,459,409","1,435,868","3,247,300","3,406,506",2.70%,"21,402","54,107","16,729","68,431",
2014,45,19,Louisiana,44.90%,43.90%,41.50%,"1,503,975","1,472,039","3,349,433","3,545,845",3.00%,"37,881","40,979","29,619","90,448",
2014,2,20,Maine,58.70%,58.10%,57.00%,"616,996","611,255","1,051,557","1,071,521",1.90%,0,0,0,0,
2014,52,21,Maryland,42.00%,41.70%,37.30%,"1,745,104","1,733,177","4,154,546","4,645,171",8.90%,"20,388","79,539","11,537","76,467",
2014,3,22,Massachusetts,44.70%,44.10%,40.20%,"2,186,789","2,158,326","4,896,296","5,369,534",8.60%,"10,014",0,0,"10,014",
2014,23,23,Michigan,43.20%,42.70%,41.00%,"3,188,956","3,156,531","7,383,958","7,700,110",3.50%,"42,900",0,0,"42,900",
2014,33,24,Minnesota,50.60%,50.40%,47.20%,"1,992,613","1,981,511","3,935,121","4,194,166",4.50%,"10,003","97,661","6,642","71,335",
2014,46,25,Mississippi,,29.00%,27.90%,,"631,858","2,181,131","2,267,463",1.70%,"18,756","34,398","9,883","47,902",
2014,34,26,Missouri,33.60%,31.70%,30.50%,"1,509,025","1,426,303","4,493,722","4,682,458",2.40%,"31,432","47,303","18,495","76,417",
2014,64,27,Montana,47.50%,46.90%,46.10%,"373,831","369,826","787,748","802,644",1.40%,"3,681",0,0,"3,681",
2014,35,28,Nebraska,41.40%,40.50%,38.00%,"552,115","539,891","1,334,453","1,419,489",5.00%,"5,221","12,940","1,067","13,534",
2014,65,29,Nevada,29.60%,29.30%,25.20%,"552,546","547,349","1,867,644","2,173,640",12.90%,"12,537","12,027","5,927","25,199",
2014,4,30,New Hampshire,48.30%,47.60%,46.00%,"495,565","488,159","1,025,862","1,061,054",3.00%,"2,867",0,0,"2,867",
2014,12,31,New Jersey,32.50%,31.10%,27.00%,"1,955,042","1,869,535","6,014,127","6,936,661",11.90%,"20,255","115,898","14,889","100,047",
