cas_num,com_id,com_nam,rep_typ,rep_yea,fin_amo,off,sta,dis,can_nam,lat_fil_not_fil,pai_yes_no,
"1934","C00005462","10TH DISTRICT REPUBLICAN CONGRESSIONAL COMMITTEE","12G","2008","$900.00","","","","","N","Y",
"2265","C00005462","10TH DISTRICT REPUBLICAN CONGRESSIONAL COMMITTEE","12G","2010","$156.00","","","","","L","Y",
"2827","C00005462","10TH DISTRICT REPUBLICAN CONGRESSIONAL COMMITTEE","M7","2014","$175.00","","","","","L","Y",
"294","C00344531","1199 32BJ/144 SERVICE EMPLOYEES INTERNATIONAL UNION HOME CARE POLITICAL ACTION FUND","30G","2000","$1,800.00","","","","","N","Y",
"293","C00348540","1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND","30G","2000","$10,000.00","","","","","N","Y",
"748","C00280941","11TH DISTRICT DEMOCRATIC COMMITTEE","Q3","2002","$2,000.00","","","","","N","Y",
"960","C00362772","13TH CONGRESSIONAL DISTRICT DEMOCRATIC ORGANIZATION","30G","2002","$1,800.00","","","","","N","Y",
"1035","C00362772","13TH CONGRESSIONAL DISTRICT DEMOCRATIC ORGANIZATION","YE","2002","$900.00","","","","","N","Y",
"2639","C00498709","19TH STAR PAC INC; THE","12G","2012","$660.00","","","","","N","Y",
"2266","C00230342","21ST CENTURY DEMOCRATS","12G","2010","$3,300.00","","","","","N","Y",
"2513","C00230342","21ST CENTURY DEMOCRATS","Q1","2012","$7,875.00","","","","","L","Y",
"826","C00084475","3M COMPANY PAC","12G","2002","$1,000.00","","","","","N","Y",
"904","C00084475","3M COMPANY PAC","30G","2002","$400.00","","","","","L","Y",
"1956","C00213231","A DUDA & SONS, INC. POLITICAL ACTION COMMITTEE","12G","2008","$600.00","","","","","N","Y",
"1453","C00169508","AAI CORPORATION POLITICAL ACTION COMMITTEE","Q1","2006","$600.00","","","","","L","Y",
"1604","C00169508","AAI CORPORATION POLITICAL ACTION COMMITTEE","12G","2006","$750.00","","","","","N","Y",
"2344","C00426445","ABIOMED INC POLITICAL ACTION COMMITTEE (ABIOMED PAC)","30G","2010","$340.00","","","","","L","Y",
"2269","C00143560","ACADEMY OF NUTRITION AND DIETETICS POLITICAL ACTION COMMITTEE","12G","2010","$550.00","","","","","N","Y",
"1793","C00392290","ACE CASH EXPRESS, INC. PAC","Q1","2008","$340.00","","","","","L","Y",
"2126","C00392290","ACE CASH EXPRESS, INC. PAC","Q1","2010","$400.00","","","","","L","Y",
"2301","C00392290","ACE CASH EXPRESS, INC. PAC","12G","2010","$687.00","","","","","N","Y",
"2345","C00392290","ACE CASH EXPRESS, INC. PAC","30G","2010","$412.00","","","","","N","Y",
"736","C00034785","ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE","Q3","2002","$3,000.00","","","","","N","Y",
"841","C00034785","ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE","12G","2002","$1,000.00","","","","","N","Y",
"905","C00034785","ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE","30G","2002","$3,200.00","","","","","L","Y",
"1945","C00233353","AD ALLIANCE","12G","2008","$150.00","","","","","N","Y",
"2628","C00233353","AD ALLIANCE","12G","2012","$125.00","","","","","L","Y",
"1187","C00399261","ADA M FISHER FOR CONGRESS","Q3","2004","$3,000.00","H","NC","12","FISHER, ADA","N","N",
"1247","C00399261","ADA M FISHER FOR CONGRESS","12G","2004","$900.00","H","NC","12","FISHER, ADA","N","N",
"1289","C00399261","ADA M FISHER FOR CONGRESS","30G","2004","$975.00","H","NC","12","FISHER, ADA","L","N",
"1605","C00366385","ADVANCED ACOUSTIC CONCEPTS LLC PAC","12G","2006","$500.00","","","","","N","Y",
"1606","C00340356","ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE","12G","2006","$120.00","","","","","L","Y",
"2430","C00459412","AFGHANISTAN & IRAQ VETERANS FOR CONGRESS PAC","YE","2010","$2,310.00","","","","","L","Y",
"2502","C00459412","AFGHANISTAN & IRAQ VETERANS FOR CONGRESS PAC","YE","2011","$4,812.00","","","","","N","Y",
"2514","C00459412","AFGHANISTAN & IRAQ VETERANS FOR CONGRESS PAC","Q1","2012","$1,020.00","","","","","L","Y",
"1555","C00141242","AGRI-MARK INC POLITICAL ACTION COMMITTEE","Q3","2006","$250.00","","","","","L","Y",
"1607","C00141242","AGRI-MARK INC POLITICAL ACTION COMMITTEE","12G","2006","$625.00","","","","","L","Y",
"1220","C00114694","AIRLINES FOR AMERICA (A4A) POLITICAL ACTION COMMITTEE","M10","2004","$1,400.00","","","","","N","Y",
"1254","C00114694","AIRLINES FOR AMERICA (A4A) POLITICAL ACTION COMMITTEE","12G","2004","$900.00","","","","","N","Y",
"1573","C00114694","AIRLINES FOR AMERICA (A4A) POLITICAL ACTION COMMITTEE","12G","2006","$165.00","","","","","L","Y",
"1608","C00325159","AIRTRAN AIRWAYS INC POLITICAL ACTION COMMITTEE","12G","2006","$600.00","","","","","L","Y",
"1642","C00325159","AIRTRAN AIRWAYS INC POLITICAL ACTION COMMITTEE","30G","2006","$250.00","","","","","N","Y",
"655","C00373183","AKRAM FOR CONGRESS INC","Q2","2002","$650.00","H","NJ","05","YOSRI, AKRAM","L","N",
"783","C00373183","AKRAM FOR CONGRESS INC","Q3","2002","$3,500.00","H","NJ","05","YOSRI, AKRAM","N","N",
"999","C00373183","AKRAM FOR CONGRESS INC","YE","2002","$4,375.00","H","NJ","05","YOSRI, AKRAM","N","N",
"1209","C00399741","AL BEVERLY FOR AMERICA","Q3","2004","$1,350.00","H","GA","06","BEVERLY, ALFRED WILEY","L","Y",
