com_id,com_nam,lin_ima,spo_nam,aff_com_nam,tot_rec,tot_dis,cas_on_han,cov_end_dat
"C00381384","13TH COLONY LEADERSHIP COMMITTEE INC","http://docquery.fec.gov/cgi-bin/fecimg/?C00381384","","JOHN HEDDENS KINGSTON","$5,770.40","$14,463.00","$71,257.06","2015-12-31"
"C00361956","21ST CENTURY MAJORITY FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00361956","","2015 ISAKSON LEADERSHIP COMMITTEE","$472,323.90","$533,095.50","$141,932.57","2016-02-29"
"C00315747","21ST CENTURY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00315747","MCKEON, HOWARD","MCKEON",,,,""
"C00571083","3 POINT LEADERSHIP FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00571083","","","$5,000.00","$8,001.70","$1,998.35","2015-12-31"
"C00448563","3RD AND LONG PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00448563","","HEATH SHULER FOR CONGRESS","$800.00","$5,946.50","$685.74","2016-02-29"
"C00416552","3T PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00416552","","NICK J. RAHALL II",,"$882.80","$73,797.10","2015-06-30"
"C00543504","4 MA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00543504","","JOSEPH P KENNEDY III","$76,400.00","$101,412.00","$14,304.80","2015-12-31"
"C00458570","A NEW DIRECTION PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00458570","SHAHEEN, JEANNE","SHAHEEN","$93,738.00","$70,865.00","$56,793.28","2015-12-31"
"C00471813","ACCOUNTABILITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00471813","","BILL POSEY",,"$825.00","$10,969.82","2015-12-31"
"C00411579","ACTON PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00411579","WESTMORELAND, LYNN","WESTMORELAND","$51,000.00","$9,466.60","$48,494.88","2016-02-29"
"C00368571","ADVANCE THE MAJORITY POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00368571","MILLER, JEFFERSON B.","","$57,500.00","$58,545.50","$6,190.54","2015-12-31"
"C00387464","ALAMO PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00387464","CORNYN, JOHN","CORNYN","$973,653.30","$748,604.50","$366,770.93","2015-12-31"
"C00344788","ALL AMERICA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00344788","","EVAN BAYH","-$3,144.00","$29,478.50","$426,849.11","2015-12-31"
"C00483628","ALL POWER TO THE PEOPLE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00483628","RUSH, BOBBY","RUSH",,"$3,000.00","$9,942.08","2015-12-31"
"C00411967","ALOHA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00411967","ABERCROMBIE, NEIL","ABERCROMBIE",,"$1,037.30","$8,253.67","2016-02-29"
"C00427187","AMERICA FIRST POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00427187","","",,"$2,642.50",,"2015-06-30"
"C00403675","AMERICA FORWARD LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00403675","CONYERS, JOHN","CONYERS","$15,200.00","$6,898.50","$8,451.60","2015-12-31"
"C00511196","AMERICA NOW","http://docquery.fec.gov/cgi-bin/fecimg/?C00511196","CARSON, ANDRE","CARSON","$37,502.00","$12,239.50","$35,670.50","2016-02-29"
"C00567180","AMERICA UNLIMITED","http://docquery.fec.gov/cgi-bin/fecimg/?C00567180","YOHO, THEODORE SCOTT MR.","YOHO","$200.00","$3,667.80","$122.23","2015-12-31"
"C00331694","AMERICA WORKS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00331694","BROWN, SHERROD","BROWN","$732,634.20","$738,091.90","$63,662.17","2016-02-29"
"C00571422","AMERICA'S COMMITTEE FOR EXCELLENCE POLITICAL ACTION COMMITTEE (ACEPAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00571422","","","$12,812.80","$11,292.60","$8,520.14","2015-12-31"
"C00524314","AMERICA'S FIRST PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00524314","","ROB WITTMAN","$35,500.00","$32,523.30","$8,245.61","2015-12-31"
"C00494757","AMERICA'S FUTURE FUND PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00494757","RENACCI, JAMES","RENACCI","$26,648.50","$37,098.50","$31,588.90","2016-02-24"
"C00492025","AMERICAN DEFENSE AND MILITARY PAC (ADAM PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00492025","","ADAM SMITH","$58,029.00","$40,608.60","$26,339.98","2015-12-31"
"C00524033","AMERICAN FREEDOM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00524033","HUELSKAMP, TIMOTHY A REPRESENTA","HUELSKAMP","$5,300.00","$7,172.00","$8,378.02","2015-12-31"
"C00561779","AMERICAN INNOVATION POLITICAL ACTION COMMITTEE (AMI PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00561779","","AMERISH BERA","$31,350.00","$13,747.50","$23,584.19","2015-12-31"
"C00553271","AMERICAN LEADERSHIP NOW (ALN PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00553271","","PETER T KING","$1,550.00","$23,491.40","-$211.68","2015-12-31"
"C00495150","AMERICAN LIBERTY AND NATION PAC (ALAN PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00495150","","NUNNELEE JOINT FUNDRAISING COMMITTEE","$39,921.00","$50,844.50",,"2015-12-31"
"C00439521","AMERICAN SECURITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00439521","ROGERS, MIKE","ROGERS","$48,500.00","$15,229.60","$40,712.22","2015-12-31"
"C00572362","AMERICANS FOR LEGISLATIVE EXCELLENCE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00572362","","","$2,500.00","$690.90","$1,809.00","2015-12-31"
"C00383422","AMERICANS FOR REPUBLICAN LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00383422","LANCE, LEONARD","LANCE","$5,000.00","$20,332.80","$4,567.17","2015-12-31"
"C00375378","AMERICANS NATIONWIDE DEDICATED TO ELECTING REPUBLICANS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00375378","","HON. ANDER CRENSHAW","$133,000.00","$90,204.40","$50,483.75","2015-12-31"
"C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?C00271338","HOYER, STENY","HOYER","$1,320,302.20","$1,488,916.90","$603,699.34","2016-02-29"
"C00527846","ANN MARIE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00527846","","ANN MARIE BUERKLE",,,"$4,630.96","2015-12-31"
"C00531764","ANN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00531764","","","$151,500.00","$134,460.20","$41,207.16","2016-02-29"
"C00540062","ANNIEPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00540062","KUSTER, ANNIE","KUSTER","$5,039.00","$1,621.90","$3,723.00","2016-02-29"
"C00553586","ARAB AMERICAN POLITICAL ACTION COMMITTEE OF MARYLAND","http://docquery.fec.gov/cgi-bin/fecimg/?C00553586","","",,,,""
"C00416404","ARCH LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00416404","","RUSS CARNAHAN FOR CONGRESS","$5,500.00","$1,045.00","$5,266.72","2015-12-31"
"C00413948","ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00413948","BOOZMAN, SEN. JOHN","BOOZMAN","$160,496.50","$186,238.00","$16,603.24","2015-12-31"
"C00461624","ARTICLE 1 POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00461624","","MR JOHN A YARMUTH","$37,500.00","$24,224.80","$49,506.72","2015-12-31"
"C00581751","ASSOCIATION OF MISSOURI NURSE PRACTITIONER'S POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00581751","","",,,,""
"C00552489","AT THE TABLE!","http://docquery.fec.gov/cgi-bin/fecimg/?C00552489","","GRACE MENG","$32,474.00","$22,589.70","$19,247.13","2016-02-29"
"C00506535","AX PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00506535","","SEAN DUFFY","$95,169.00","$105,866.00","$18,229.89","2015-12-31"
"C00382242","BADGERPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00382242","KIND, RONALD","KIND","$256,143.40","$220,230.40","$59,045.53","2016-02-29"
"C00543207","BADLANDS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00543207","CRAMER, KEVIN","CRAMER","$20,500.00","$4,600.00","$21,620.77","2015-12-31"
"C00607747","BAPTIST MAKING HEALTHIER COMMUNITIES","http://docquery.fec.gov/cgi-bin/fecimg/?C00607747","","DON   POUNDS",,,,""
"C00559146","BELIEVE IN LIFE LIBERTY YOURSELF AKA BILLY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00559146","","","$36,548.10","$11,774.40","$38,280.15","2015-12-31"
"C00503581","BETTER LEADERSHIP - BETTER AMERICA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00503581","RIGELL, EDWARD SCOTT","RIGELL","$25,061.20","$25,487.50","$3,895.88","2015-12-31"
"C00584805","BFB PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00584805","","HON.  BRENDAN  BOYLE","$10,000.00",,"$10,000.00","2015-12-31"
"C00483727","BIG RED POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00483727","TERRY, LEE","TERRY",,"$9,048.70",,"2015-12-31"
